Date,Open,High,Low,Close,Volume,Daily_Return,MA_10,MA_30,MA_50,EMA_10,BB_Middle,BB_Upper,BB_Lower,RSI,MACD,Signal_Line,Future_Close,Predicted_Close,Signal,Strategy_Return,Cumulative_PnL
2024-07-24,401.5,409.5,399.0,403.75,149625,0.0031055900621117516,397.925,415.475,430.95,399.90656675350135,401.225,416.3472213629001,386.1027786371,50.158730158730165,-9.001535774440299,-10.903961652713576,406.0,404.84732,1,0.0031055900621117516,5.366821206107082
2024-07-25,403.0,408.75,402.0,406.0,119013,0.005572755417956765,397.85,414.025,429.9,401.0144637074102,400.525,413.0632572448496,387.9867427551503,46.41638225255973,-7.912653347444973,-10.305699991659854,394.5,397.3244,-1,0.005572755417956765,5.396729188060621
2024-07-26,405.75,406.5,394.0,394.5,154397,-0.02832512315270941,397.3,412.03333333333336,428.715,399.8300157606083,399.5625,410.7037876039921,388.4212123960079,49.09747292418773,-7.88674656450047,-9.821909306227976,396.25,395.4885,1,0.02832512315270941,5.5495922069342605
2024-07-29,392.75,397.0,390.0,396.25,142225,0.004435994930291454,397.875,409.9583333333333,427.39,399.17910380413406,399.5125,410.7063364149828,388.3186635850172,46.99248120300752,-7.636970634108025,-9.384921571803986,388.75,389.77774,-1,0.004435994930291454,5.5742101698294055
2024-07-30,396.0,396.75,387.25,388.75,123321,-0.018927444794952675,397.175,407.9166666666667,426.025,397.2829031124733,399.0375,411.2195348745764,386.8554651254236,39.7887323943662,-7.952536835263743,-9.098444624495936,382.75,383.4113,-1,0.018927444794952675,5.679715725094315
2024-07-31,387.75,390.5,381.0,382.75,156261,-0.015434083601286175,395.65,405.8833333333333,424.63,394.6405570920237,398.075,412.1640961945801,383.9859038054199,33.673469387755105,-8.587780590183229,-8.996311817633396,382.0,381.23376,-1,0.015434083601286175,5.767376932426961
2024-08-01,382.5,384.0,378.0,382.0,116742,-0.0019595035924232507,394.725,403.6166666666667,423.06,392.3422739843829,397.0,412.5512734290264,381.4487265709736,36.66666666666666,-9.047441303123833,-9.006537714731484,386.5,385.50323,1,0.0019595035924232507,5.77867812824491
2024-08-02,383.0,387.75,381.75,386.5,113751,0.011780104712041828,394.325,401.8416666666666,421.63,391.2800423508587,395.7625,410.4544911946728,381.0705088053272,46.8,-8.945495237158525,-8.994329219216894,390.75,389.75317,1,0.011780104712041828,5.8467515616928205
2024-08-05,385.75,391.75,378.75,390.75,157029,0.010996119016817518,393.375,400.3666666666667,420.22,391.1836710143389,395.5125,410.37456314930125,380.6504368506987,45.9349593495935,-8.42464865855709,-8.880393107084934,388.75,388.88254,-1,0.010996119016817518,5.911043137726958
2024-08-06,390.75,393.0,385.75,388.75,107227,-0.0051183621241203126,392.0,398.875,418.715,390.7411853753682,394.9375,409.9172011775805,379.9577988224195,42.44897959183674,-8.080114744740513,-8.72033743461605,383.25,383.32492,-1,0.0051183621241203126,5.941297997037141
2024-08-07,387.75,388.0,381.75,383.25,199142,-0.014147909967845651,389.95,397.4666666666666,417.085,389.3791516707558,393.9375,409.2473480518132,378.6276519481869,43.33333333333333,-8.156846125713344,-8.60763917283551,379.25,379.21603,-1,0.014147909967845651,6.0253549461913645
2024-08-08,383.0,386.5,378.5,379.25,157714,-0.010437051532941943,387.275,396.10833333333335,415.42,387.5374877306184,392.5625,407.9665963451841,377.1584036548159,41.10671936758894,-8.443096112222406,-8.57473056071289,376.75,378.38306,-1,0.010437051532941943,6.088241886269031
2024-08-09,379.0,381.25,375.25,376.75,157231,-0.0065919578114700395,385.5,394.875,413.85,385.57612632505135,391.4,407.9102838765842,374.8897161234157,29.01785714285716,-8.770578624590257,-8.613900173488364,383.25,382.8585,1,0.0065919578114700395,6.12837531992934
2024-08-12,376.25,385.25,372.5,383.25,203695,0.01725282017252816,384.2,394.40833333333336,412.54,385.1531942659511,391.0375,407.94457964452914,374.1304203554709,34.02489626556016,-8.408685110068348,-8.57285716080436,377.75,377.7695,-1,0.01725282017252816,6.2341070772738405
2024-08-13,382.75,385.0,376.25,377.75,172577,-0.014350945857795172,383.1,393.725,411.17,383.80715894486906,390.1375,407.8838673080653,372.39113269193473,29.84496124031007,-8.468071272650036,-8.551899983173497,381.0,380.43848,1,0.014350945857795172,6.3235724104114945
2024-08-14,377.25,382.0,376.0,381.0,125031,0.008603573792190566,382.925,393.025,409.92,383.2967664094383,389.2875,407.0766710111615,371.4983289888385,30.91603053435115,-8.15883739692174,-8.473287465923146,375.0,375.87006,-1,0.008603573792190566,6.37797773227473
2024-08-15,380.75,383.5,374.5,375.0,151990,-0.015748031496062964,382.225,392.075,408.57,381.78826342590406,388.475,407.3387078456332,369.6112921543669,33.75,-8.30221441853729,-8.439072856445975,370.5,371.71658,-1,0.015748031496062964,6.478418326483781
2024-08-16,374.5,375.75,367.75,370.5,137465,-0.01200000000000001,380.625,390.7166666666666,407.195,379.7358518939215,387.475,407.93928210581686,367.0107178941832,29.482071713147405,-8.678909071728526,-8.487040099502485,378.0,376.46518,1,0.01200000000000001,6.556159346401587
2024-08-19,370.25,378.5,370.0,378.0,151084,0.020242914979757165,379.35,390.125,405.715,379.42024245866304,386.3625,406.31538859185775,366.4096114081423,41.43426294820717,-8.276844665291662,-8.44500101266032,375.0,375.45108,-1,0.020242914979757165,6.688875122644534
2024-08-20,377.75,378.5,374.75,375.0,122507,-0.007936507936507908,377.975,389.28333333333336,404.24,378.6165620116334,384.9875,404.0272610279434,365.9477389720566,43.51464435146444,-8.106830162638403,-8.377366842655936,375.5,374.26138,-1,0.007936507936507908,6.741961433141713
2024-08-21,374.75,378.0,374.0,375.5,96191,0.0013333333333334085,377.2,388.35833333333335,402.715,378.0499143731546,383.575,400.8651706180475,366.2848293819525,44.53781512605042,-7.841356348164879,-8.270164743757725,371.5,372.0901,-1,-0.0013333333333334085,6.7329721512308565
2024-08-22,375.5,376.5,370.75,371.5,131932,-0.010652463382157085,376.425,387.1833333333333,401.155,376.8590208507628,381.85,396.3843513244399,367.31564867556017,37.288135593220346,-7.863092176162354,-8.18875023023865,367.75,368.25528,-1,0.010652463382157085,6.804694890524926
2024-08-23,371.0,374.0,367.25,367.75,138358,-0.010094212651413192,375.525,386.10833333333335,399.425,375.2028352415332,380.5125,395.0686300163823,365.95636998361766,30.34188034188034,-8.089659082130083,-8.168932000616937,362.0,364.70367,-1,0.010094212651413192,6.87338292777787
2024-08-26,367.25,367.5,360.5,362.0,143588,-0.015635622025832796,373.4,385.15833333333336,397.495,372.8023197430726,378.8,393.61695330573576,363.98304669426426,28.51405622489959,-8.63366837789249,-8.261879276072047,367.25,367.53683,1,0.015635622025832796,6.9808525452754155
2024-08-27,361.5,369.25,360.75,367.25,161618,0.014502762430939287,372.35,384.2083333333333,395.84,371.79280706251393,377.725,392.6219265640208,362.82807343597926,37.09677419354839,-8.542693685080735,-8.318042157873785,365.25,366.53723,-1,0.014502762430939287,7.082094191304963
2024-08-28,367.0,367.75,362.25,365.25,160784,-0.005445881552076259,370.775,383.1166666666667,394.27,370.6032057784205,376.85,392.538916637689,361.1610833623111,38.33333333333333,-8.533608741309934,-8.361155474561016,371.75,371.14496,1,0.005445881552076259,7.120662437411456
2024-08-29,364.25,372.75,363.75,371.75,100531,0.017796030116358663,370.45,382.4666666666666,392.705,370.8117138187076,376.3375,391.98768496615554,360.6873150338444,46.09375,-7.910723286887674,-8.271069037026349,378.0,377.60873,1,0.017796030116358663,7.247381960596054
2024-08-30,371.25,378.75,371.0,378.0,6393,0.0168123739071957,371.2,382.05,391.47,372.118674942579,375.9125,390.84592682853815,360.9790731714619,45.88235294117647,-6.833981426164996,-7.983651514854079,386.5,385.39395,1,0.0168123739071957,7.36922765596586
2024-09-03,378.0,386.75,376.5,386.5,3017,0.022486772486772555,372.05,381.5916666666666,390.5,374.7334613166555,375.7,389.8445544664309,361.5554455335691,56.55430711610487,-5.234437444958758,-7.433808700875016,390.5,389.58585,1,0.022486772486772555,7.5349378016687965
2024-09-04,385.5,391.25,383.0,390.5,1519,0.010349288486416475,373.6,381.19166666666666,389.64,377.6001047136272,375.7875,390.28911061839386,361.2858893816062,57.03703703703704,-3.6024934432164173,-6.667545649343297,390.0,390.57013,1,0.010349288486416475,7.612919046705471
2024-09-05,389.0,390.0,386.75,390.0,485,-0.001280409731113985,375.05,380.73333333333335,388.93,379.8546311293313,376.125,391.63687999740296,360.613120002597,62.096774193548384,-2.322736821415788,-5.798583883757796,383.75,384.5063,-1,-0.001280409731113985,7.603171391075887
2024-09-06,389.75,395.25,383.0,383.75,504,-0.01602564102564108,376.275,379.9916666666667,388.205,380.5628800149075,376.35,392.18001812018576,360.5199818798143,60.3921568627451,-1.7921840627809615,-4.997303919562429,384.25,383.9144,1,0.01602564102564108,7.725017086445693
2024-09-09,383.75,385.25,381.0,384.25,504,0.0013029315960912946,377.925,379.65,387.615,381.23326546674247,376.725,392.94543869875736,360.5045613012427,55.50660792951543,-1.316199034645024,-4.261082942578948,379.5,380.6224,-1,0.0013029315960912946,7.735082255287968
2024-09-10,382.75,382.75,379.5,379.5,296,-0.01236174365647369,379.675,379.0916666666666,387.26,380.9181262909711,376.5375,392.525386039161,360.5496139608391,53.846153846153854,-1.3071942515226738,-3.670305204367694,380.5,380.70456,1,0.01236174365647369,7.830701359289575
